CustomerID,PersonID,StoreID,TerritoryID,AccountNumber
1,,934,1,AW00000001
2,,1028,1,AW00000002
3,,642,4,AW00000003
4,,932,4,AW00000004
5,,1026,4,AW00000005
6,,644,4,AW00000006
7,,930,1,AW00000007
8,,1024,5,AW00000008
9,,620,5,AW00000009
10,,928,6,AW00000010
11,,1022,6,AW00000011
12,,622,6,AW00000012
13,,434,7,AW00000013
14,,1020,8,AW00000014
15,,624,9,AW00000015
16,,432,10,AW00000016
17,,1018,5,AW00000017
18,,1332,3,AW00000018
19,,430,1,AW00000019
20,,1016,1,AW00000020
21,,1334,4,AW00000021
22,,494,3,AW00000022
23,,1014,4,AW00000023
24,,1336,4,AW00000024
25,,492,4,AW00000025
26,,1012,5,AW00000026
27,,1338,5,AW00000027
28,,490,6,AW00000028
29,,1010,6,AW00000029
30,,1340,6,AW00000030
31,,942,7,AW00000031
32,,1008,8,AW00000032
33,,1342,9,AW00000033
34,,940,10,AW00000034
35,,1006,2,AW00000035
36,,1344,2,AW00000036
37,,938,1,AW00000037
38,,1004,1,AW00000038
39,,1346,3,AW00000039
40,,936,4,AW00000040
41,,1002,4,AW00000041
42,,1348,4,AW00000042
43,,1290,1,AW00000043
44,,1000,5,AW00000044
45,,1350,5,AW00000045
46,,1288,6,AW00000046
47,,998,6,AW00000047
48,,1352,6,AW00000048
49,,1286,7,AW00000049
50,,996,8,AW00000050
51,,1354,9,AW00000051
52,,1284,10,AW00000052
53,,994,2,AW00000053
54,,1356,2,AW00000054
55,,1282,1,AW00000055
56,,992,1,AW00000056
57,,1358,3,AW00000057
58,,1280,3,AW00000058
59,,990,4,AW00000059
60,,1360,4,AW00000060
61,,1278,4,AW00000061
62,,988,5,AW00000062
63,,1362,5,AW00000063
64,,1276,6,AW00000064
65,,986,6,AW00000065
66,,782,6,AW00000066
67,,1274,7,AW00000067
68,,532,8,AW00000068
69,,784,9,AW00000069
70,,1272,10,AW00000070
71,,530,2,AW00000071
72,,786,2,AW00000072
73,,1270,1,AW00000073
74,,528,1,AW00000074
75,,788,4,AW00000075
76,,1268,3,AW00000076
77,,556,4,AW00000077
78,,790,4,AW00000078
79,,1266,3,AW00000079
80,,554,5,AW00000080
81,,792,5,AW00000081
82,,1264,6,AW00000082
83,,552,6,AW00000083
84,,794,6,AW00000084
85,,1262,7,AW00000085
86,,636,8,AW00000086
87,,796,9,AW00000087
88,,1260,10,AW00000088
89,,634,2,AW00000089
90,,798,5,AW00000090
91,,1258,1,AW00000091
92,,632,1,AW00000092
93,,800,4,AW00000093
94,,1256,4,AW00000094
95,,630,4,AW00000095
96,,1308,4,AW00000096
97,,1254,4,AW00000097
98,,734,5,AW00000098
99,,1310,5,AW00000099
100,,1252,6,AW00000100
101,,732,6,AW00000101
102,,1312,6,AW00000102
103,,1894,7,AW00000103
104,,730,8,AW00000104
105,,1314,9,AW00000105
106,,1892,10,AW00000106
107,,728,2,AW00000107
108,,1316,2,AW00000108
109,,1890,1,AW00000109
110,,1888,1,AW00000110
111,,726,3,AW00000111
112,,1318,4,AW00000112
113,,1886,4,AW00000113
114,,724,4,AW00000114
115,,1320,1,AW00000115
116,,1884,5,AW00000116
117,,722,5,AW00000117
118,,1322,6,AW00000118
119,,1882,6,AW00000119
120,,720,6,AW00000120
121,,1324,7,AW00000121
122,,1880,8,AW00000122
123,,718,9,AW00000123
124,,1326,10,AW00000124
125,,1878,2,AW00000125
126,,716,2,AW00000126
127,,1328,1,AW00000127
128,,1876,1,AW00000128
129,,714,3,AW00000129
130,,1330,4,AW00000130
131,,1874,4,AW00000131
132,,712,3,AW00000132
133,,978,4,AW00000133
134,,1872,5,AW00000134
135,,710,5,AW00000135
136,,980,6,AW00000136
137,,418,6,AW00000137
138,,708,6,AW00000138
139,,982,7,AW00000139
140,,416,8,AW00000140
141,,706,9,AW00000141
142,,984,10,AW00000142
143,,520,2,AW00000143
144,,704,2,AW00000144
145,,522,1,AW00000145
146,,518,1,AW00000146
147,,702,3,AW00000147
148,,524,3,AW00000148
149,,516,3,AW00000149
150,,700,4,AW00000150
151,,526,4,AW00000151
152,,650,5,AW00000152
153,,514,5,AW00000153
154,,626,6,AW00000154
155,,648,6,AW00000155
156,,512,6,AW00000156
157,,628,7,AW00000157
158,,646,8,AW00000158
