SalesOrderID,OrderDate,Status,SalesOrderNumber,CustomerID,SalesPersonID,TerritoryID,SubTotal,TaxAmt,Freight,TotalDue
43659,5/31/2011 0:00,5,SO43659,29825,279,5,20565.6206,1971.5149,616.0984,23153.2339
43660,5/31/2011 0:00,5,SO43660,29672,279,5,1294.2529,124.2483,38.8276,1457.3288
43661,5/31/2011 0:00,5,SO43661,29734,282,6,32726.4786,3153.7696,985.553,36865.8012
43662,5/31/2011 0:00,5,SO43662,29994,282,6,28832.5289,2775.1646,867.2389,32474.9324
43663,5/31/2011 0:00,5,SO43663,29565,276,4,419.4589,40.2681,12.5838,472.3108
43664,5/31/2011 0:00,5,SO43664,29898,280,1,24432.6088,2344.9921,732.81,27510.4109
43665,5/31/2011 0:00,5,SO43665,29580,283,1,14352.7713,1375.9427,429.9821,16158.6961
43666,5/31/2011 0:00,5,SO43666,30052,276,4,5056.4896,486.3747,151.9921,5694.8564
43667,5/31/2011 0:00,5,SO43667,29974,277,3,6107.082,586.1203,183.1626,6876.3649
43668,5/31/2011 0:00,5,SO43668,29614,282,6,35944.1562,3461.7654,1081.8017,40487.7233
43669,5/31/2011 0:00,5,SO43669,29747,283,1,714.7043,70.5175,22.0367,807.2585
43670,5/31/2011 0:00,5,SO43670,29566,275,3,6122.082,587.5603,183.6126,6893.2549
43671,5/31/2011 0:00,5,SO43671,29890,283,1,8128.7876,780.8136,244.0042,9153.6054
43672,5/31/2011 0:00,5,SO43672,30067,282,6,6124.182,587.6023,183.6257,6895.41
43673,5/31/2011 0:00,5,SO43673,29844,275,2,3746.2015,357.9614,111.8629,4216.0258
43674,5/31/2011 0:00,5,SO43674,29596,282,6,2624.382,251.9407,78.7315,2955.0542
43675,5/31/2011 0:00,5,SO43675,29827,277,3,5716.3102,546.8759,170.8987,6434.0848
43676,5/31/2011 0:00,5,SO43676,29811,275,5,14203.458,1363.266,426.0206,15992.7446
43677,5/31/2011 0:00,5,SO43677,29824,278,6,7793.1108,747.1011,233.4691,8773.681
43678,5/31/2011 0:00,5,SO43678,29889,281,4,9799.9243,942.074,294.3981,11036.3964
43679,5/31/2011 0:00,5,SO43679,29761,278,6,1316.0575,125.8032,39.3135,1481.1742
43680,5/31/2011 0:00,5,SO43680,29489,281,4,11397.4992,1093.6394,341.7623,12832.9009
43681,5/31/2011 0:00,5,SO43681,29661,279,5,13787.5434,1323.0668,413.4584,15524.0686
43682,5/31/2011 0:00,5,SO43682,29759,275,2,3875.7229,371.8002,116.1876,4363.7107
43683,5/31/2011 0:00,5,SO43683,29497,283,1,42813.4333,4107.1489,1283.484,48204.0662
43684,5/31/2011 0:00,5,SO43684,29912,279,5,5596.4705,537.2612,167.8941,6301.6258
43685,5/31/2011 0:00,5,SO43685,30084,279,5,2736.5678,263.201,82.2503,3082.0191
43686,5/31/2011 0:00,5,SO43686,29606,283,1,3463.2998,332.4768,103.899,3899.6756
43687,5/31/2011 0:00,5,SO43687,29610,275,2,1258.3767,120.8042,37.7513,1416.9322
43688,5/31/2011 0:00,5,SO43688,29718,275,2,12718.0844,1222.8838,382.1512,14323.1194
43689,5/31/2011 0:00,5,SO43689,29646,277,4,33997.3702,3271.4942,1022.3419,38291.2063
43690,5/31/2011 0:00,5,SO43690,29533,275,3,1297.5901,124.2027,38.8133,1460.6061
43691,5/31/2011 0:00,5,SO43691,29570,277,4,874.794,83.9802,26.2438,985.018
43692,5/31/2011 0:00,5,SO43692,29992,281,4,38510.8973,3696.3979,1155.1244,43362.4196
43693,5/31/2011 0:00,5,SO43693,29491,275,5,20541.4072,1969.5564,615.4864,23126.45
43694,5/31/2011 0:00,5,SO43694,29549,279,5,20645.634,1978.3257,618.2268,23242.1865
43695,5/31/2011 0:00,5,SO43695,29958,279,5,39373.781,3787.4632,1183.5823,44344.8265
43696,5/31/2011 0:00,5,SO43696,29849,279,5,419.4589,40.2681,12.5838,472.3108
43697,5/31/2011 0:00,5,SO43697,21768,,6,3578.27,286.2616,89.4568,3953.9884
43698,5/31/2011 0:00,5,SO43698,28389,,7,3399.99,271.9992,84.9998,3756.989
43699,5/31/2011 0:00,5,SO43699,25863,,1,3399.99,271.9992,84.9998,3756.989
43700,5/31/2011 0:00,5,SO43700,14501,,4,699.0982,55.9279,17.4775,772.5036
43701,5/31/2011 0:00,5,SO43701,11003,,9,3399.99,271.9992,84.9998,3756.989
43702,6/1/2011 0:00,5,SO43702,27645,,4,3578.27,286.2616,89.4568,3953.9884
43703,6/1/2011 0:00,5,SO43703,16624,,9,3578.27,286.2616,89.4568,3953.9884
43704,6/1/2011 0:00,5,SO43704,11005,,9,3374.99,269.9992,84.3748,3729.364
43705,6/1/2011 0:00,5,SO43705,11011,,9,3399.99,271.9992,84.9998,3756.989
43706,6/2/2011 0:00,5,SO43706,27621,,4,3578.27,286.2616,89.4568,3953.9884
43707,6/2/2011 0:00,5,SO43707,27616,,4,3578.27,286.2616,89.4568,3953.9884
43708,6/2/2011 0:00,5,SO43708,20042,,10,699.0982,55.9279,17.4775,772.5036
43709,6/2/2011 0:00,5,SO43709,16351,,9,3578.27,286.2616,89.4568,3953.9884
43710,6/2/2011 0:00,5,SO43710,16517,,9,3578.27,286.2616,89.4568,3953.9884
43711,6/3/2011 0:00,5,SO43711,27606,,1,3578.27,286.2616,89.4568,3953.9884
43712,6/3/2011 0:00,5,SO43712,13513,,8,3578.27,286.2616,89.4568,3953.9884
43713,6/4/2011 0:00,5,SO43713,27601,,4,3578.27,286.2616,89.4568,3953.9884
43714,6/4/2011 0:00,5,SO43714,13591,,10,3578.27,286.2616,89.4568,3953.9884
43715,6/4/2011 0:00,5,SO43715,16483,,9,3578.27,286.2616,89.4568,3953.9884
43716,6/4/2011 0:00,5,SO43716,16529,,9,3578.27,286.2616,89.4568,3953.9884
43717,6/4/2011 0:00,5,SO43717,25249,,9,699.0982,55.9279,17.4775,772.5036
43718,6/5/2011 0:00,5,SO43718,27668,,1,3578.27,286.2616,89.4568,3953.9884
43719,6/5/2011 0:00,5,SO43719,27612,,4,3578.27,286.2616,89.4568,3953.9884
43720,6/5/2011 0:00,5,SO43720,13264,,8,3578.27,286.2616,89.4568,3953.9884
43721,6/5/2011 0:00,5,SO43721,13590,,10,3578.27,286.2616,89.4568,3953.9884
43722,6/6/2011 0:00,5,SO43722,13581,,10,3578.27,286.2616,89.4568,3953.9884
43723,6/6/2011 0:00,5,SO43723,14520,,1,699.0982,55.9279,17.4775,772.5036
43724,6/6/2011 0:00,5,SO43724,16520,,9,3578.27,286.2616,89.4568,3953.9884
43725,6/7/2011 0:00,5,SO43725,13258,,8,3578.27,286.2616,89.4568,3953.9884
43726,6/7/2011 0:00,5,SO43726,14560,,4,699.0982,55.9279,17.4775,772.5036
43727,6/7/2011 0:00,5,SO43727,16607,,9,3578.27,286.2616,89.4568,3953.9884
43728,6/8/2011 0:00,5,SO43728,27666,,4,3578.27,286.2616,89.4568,3953.9884
43729,6/8/2011 0:00,5,SO43729,11238,,10,3399.99,271.9992,84.9998,3756.989
43730,6/8/2011 0:00,5,SO43730,25861,,4,3399.99,271.9992,84.9998,3756.989
43731,6/8/2011 0:00,5,SO43731,16629,,9,3578.27,286.2616,89.4568,3953.9884
43732,6/8/2011 0:00,5,SO43732,11025,,9,3374.99,269.9992,84.3748,3729.364
43733,6/8/2011 0:00,5,SO43733,27577,,1,3578.27,286.2616,89.4568,3953.9884
43734,6/9/2011 0:00,5,SO43734,27604,,1,3578.27,286.2616,89.4568,3953.9884
43735,6/9/2011 0:00,5,SO43735,16522,,9,3578.27,286.2616,89.4568,3953.9884
43736,6/9/2011 0:00,5,SO43736,11002,,9,3399.99,271.9992,84.9998,3756.989
43737,6/10/2011 0:00,5,SO43737,13261,,8,3578.27,286.2616,89.4568,3953.9884
43738,6/10/2011 0:00,5,SO43738,11606,,7,3578.27,286.2616,89.4568,3953.9884
43739,6/10/2011 0:00,5,SO43739,13563,,10,3578.27,286.2616,89.4568,3953.9884
43740,6/10/2011 0:00,5,SO43740,16527,,9,3578.27,286.2616,89.4568,3953.9884
43741,6/11/2011 0:00,5,SO43741,27671,,1,3578.27,286.2616,89.4568,3953.9884
43742,6/11/2011 0:00,5,SO43742,13576,,10,3578.27,286.2616,89.4568,3953.9884
43743,6/11/2011 0:00,5,SO43743,11007,,9,3399.99,271.9992,84.9998,3756.989
43744,6/11/2011 0:00,5,SO43744,16631,,9,3578.27,286.2616,89.4568,3953.9884
43745,6/12/2011 0:00,5,SO43745,16514,,9,3578.27,286.2616,89.4568,3953.9884
43746,6/12/2011 0:00,5,SO43746,16616,,9,3578.27,286.2616,89.4568,3953.9884
43747,6/13/2011 0:00,5,SO43747,27623,,4,3578.27,286.2616,89.4568,3953.9884
43748,6/13/2011 0:00,5,SO43748,27625,,1,3578.27,286.2616,89.4568,3953.9884
43749,6/13/2011 0:00,5,SO43749,27636,,1,3578.27,286.2616,89.4568,3953.9884
43750,6/13/2011 0:00,5,SO43750,11591,,7,3578.27,286.2616,89.4568,3953.9884
43751,6/13/2011 0:00,5,SO43751,11592,,7,3578.27,286.2616,89.4568,3953.9884
43752,6/13/2011 0:00,5,SO43752,13265,,8,3578.27,286.2616,89.4568,3953.9884
43753,6/13/2011 0:00,5,SO43753,16482,,9,3578.27,286.2616,89.4568,3953.9884
43754,6/14/2011 0:00,5,SO43754,27617,,1,3578.27,286.2616,89.4568,3953.9884
43755,6/14/2011 0:00,5,SO43755,27670,,4,3578.27,286.2616,89.4568,3953.9884
43756,6/14/2011 0:00,5,SO43756,19941,,10,699.0982,55.9279,17.4775,772.5036
43757,6/14/2011 0:00,5,SO43757,11017,,9,3374.99,269.9992,84.3748,3729.364
43758,6/15/2011 0:00,5,SO43758,27646,,4,3578.27,286.2616,89.4568,3953.9884
43759,6/15/2011 0:00,5,SO43759,13257,,8,3578.27,286.2616,89.4568,3953.9884
43760,6/15/2011 0:00,5,SO43760,16352,,9,3578.27,286.2616,89.4568,3953.9884
43761,6/15/2011 0:00,5,SO43761,16493,,9,3578.27,286.2616,89.4568,3953.9884
43762,6/16/2011 0:00,5,SO43762,27578,,4,3578.27,286.2616,89.4568,3953.9884
43763,6/16/2011 0:00,5,SO43763,16525,,9,3578.27,286.2616,89.4568,3953.9884
43764,6/16/2011 0:00,5,SO43764,16612,,9,3578.27,286.2616,89.4568,3953.9884
43765,6/16/2011 0:00,5,SO43765,11010,,9,3399.99,271.9992,84.9998,3756.989
43766,6/17/2011 0:00,5,SO43766,16518,,9,3578.27,286.2616,89.4568,3953.9884
43767,6/17/2011 0:00,5,SO43767,11001,,9,3374.99,269.9992,84.3748,3729.364
43768,6/18/2011 0:00,5,SO43768,27649,,1,3578.27,286.2616,89.4568,3953.9884
43769,6/18/2011 0:00,5,SO43769,21659,,6,3578.27,286.2616,89.4568,3953.9884
43770,6/18/2011 0:00,5,SO43770,27614,,1,3578.27,286.2616,89.4568,3953.9884
43771,6/18/2011 0:00,5,SO43771,14559,,4,699.0982,55.9279,17.4775,772.5036
43772,6/18/2011 0:00,5,SO43772,16524,,9,3578.27,286.2616,89.4568,3953.9884
43773,6/18/2011 0:00,5,SO43773,16526,,9,3578.27,286.2616,89.4568,3953.9884
43774,6/18/2011 0:00,5,SO43774,16348,,9,3578.27,286.2616,89.4568,3953.9884
43775,6/18/2011 0:00,5,SO43775,11027,,9,3399.99,271.9992,84.9998,3756.989
43776,6/19/2011 0:00,5,SO43776,13260,,8,3578.27,286.2616,89.4568,3953.9884
43777,6/19/2011 0:00,5,SO43777,16515,,9,3578.27,286.2616,89.4568,3953.9884
43778,6/19/2011 0:00,5,SO43778,11018,,9,3399.99,271.9992,84.9998,3756.989
43779,6/19/2011 0:00,5,SO43779,25252,,9,699.0982,55.9279,17.4775,772.5036
43780,6/20/2011 0:00,5,SO43780,11599,,7,3578.27,286.2616,89.4568,3953.9884
43781,6/20/2011 0:00,5,SO43781,16495,,9,3578.27,286.2616,89.4568,3953.9884
43782,6/20/2011 0:00,5,SO43782,16516,,9,3578.27,286.2616,89.4568,3953.9884
43783,6/20/2011 0:00,5,SO43783,16620,,9,3578.27,286.2616,89.4568,3953.9884
43784,6/21/2011 0:00,5,SO43784,27667,,4,3578.27,286.2616,89.4568,3953.9884
43785,6/21/2011 0:00,5,SO43785,11601,,7,3578.27,286.2616,89.4568,3953.9884
43786,6/21/2011 0:00,5,SO43786,11607,,7,3578.27,286.2616,89.4568,3953.9884
43787,6/21/2011 0:00,5,SO43787,29385,,8,3399.99,271.9992,84.9998,3756.989
43788,6/21/2011 0:00,5,SO43788,11239,,10,3374.99,269.9992,84.3748,3729.364
43789,6/21/2011 0:00,5,SO43789,25865,,1,3374.99,269.9992,84.3748,3729.364
43790,6/21/2011 0:00,5,SO43790,25857,,1,3399.99,271.9992,84.9998,3756.989
43791,6/21/2011 0:00,5,SO43791,16484,,9,3578.27,286.2616,89.4568,3953.9884
43792,6/21/2011 0:00,5,SO43792,16623,,9,3578.27,286.2616,89.4568,3953.9884
43793,6/21/2011 0:00,5,SO43793,11000,,9,3399.99,271.9992,84.9998,3756.989
43794,6/21/2011 0:00,5,SO43794,11029,,9,3399.99,271.9992,84.9998,3756.989
43795,6/22/2011 0:00,5,SO43795,27615,,4,3578.27,286.2616,89.4568,3953.9884
43796,6/22/2011 0:00,5,SO43796,17956,,7,699.0982,55.9279,17.4775,772.5036
43797,6/22/2011 0:00,5,SO43797,16345,,9,3578.27,286.2616,89.4568,3953.9884
43798,6/22/2011 0:00,5,SO43798,16521,,9,3578.27,286.2616,89.4568,3953.9884
43799,6/22/2011 0:00,5,SO43799,16636,,9,3578.27,286.2616,89.4568,3953.9884
43800,6/23/2011 0:00,5,SO43800,21710,,6,3578.27,286.2616,89.4568,3953.9884
43801,6/23/2011 0:00,5,SO43801,13583,,10,3578.27,286.2616,89.4568,3953.9884
43802,6/23/2011 0:00,5,SO43802,11593,,7,3578.27,286.2616,89.4568,3953.9884
43803,6/24/2011 0:00,5,SO43803,21741,,6,3578.27,286.2616,89.4568,3953.9884
43804,6/24/2011 0:00,5,SO43804,13585,,10,3578.27,286.2616,89.4568,3953.9884
43805,6/24/2011 0:00,5,SO43805,14510,,1,699.0982,55.9279,17.4775,772.5036
43806,6/24/2011 0:00,5,SO43806,16523,,9,3578.27,286.2616,89.4568,3953.9884
43807,6/25/2011 0:00,5,SO43807,11611,,7,3578.27,286.2616,89.4568,3953.9884
43808,6/25/2011 0:00,5,SO43808,13259,,8,3578.27,286.2616,89.4568,3953.9884
43809,6/25/2011 0:00,5,SO43809,16350,,9,3578.27,286.2616,89.4568,3953.9884
43810,6/25/2011 0:00,5,SO43810,11004,,9,3399.99,271.9992,84.9998,3756.989
43811,6/25/2011 0:00,5,SO43811,11026,,9,3399.99,271.9992,84.9998,3756.989
43812,6/26/2011 0:00,5,SO43812,27662,,4,3578.27,286.2616,89.4568,3953.9884
43813,6/26/2011 0:00,5,SO43813,28390,,7,3374.99,269.9992,84.3748,3729.364
43814,6/26/2011 0:00,5,SO43814,25866,,1,3374.99,269.9992,84.3748,3729.364
43815,6/26/2011 0:00,5,SO43815,16494,,9,3578.27,286.2616,89.4568,3953.9884
43816,6/26/2011 0:00,5,SO43816,16496,,9,3578.27,286.2616,89.4568,3953.9884
43817,6/26/2011 0:00,5,SO43817,16519,,9,3578.27,286.2616,89.4568,3953.9884
43818,6/26/2011 0:00,5,SO43818,16528,,9,3578.27,286.2616,89.4568,3953.9884
43819,6/26/2011 0:00,5,SO43819,11006,,9,3399.99,271.9992,84.9998,3756.989
43820,6/27/2011 0:00,5,SO43820,27651,,4,3578.27,286.2616,89.4568,3953.9884
43821,6/27/2011 0:00,5,SO43821,27663,,4,3578.27,286.2616,89.4568,3953.9884
43822,6/27/2011 0:00,5,SO43822,27669,,4,3578.27,286.2616,89.4568,3953.9884
43823,6/27/2011 0:00,5,SO43823,19942,,10,699.0982,55.9279,17.4775,772.5036
43824,6/27/2011 0:00,5,SO43824,14558,,1,699.0982,55.9279,17.4775,772.5036
43825,6/27/2011 0:00,5,SO43825,16349,,9,3578.27,286.2616,89.4568,3953.9884
43826,6/27/2011 0:00,5,SO43826,11008,,9,3374.99,269.9992,84.3748,3729.364
43827,6/27/2011 0:00,5,SO43827,25250,,9,699.0982,55.9279,17.4775,772.5036
43828,6/28/2011 0:00,5,SO43828,27605,,1,3578.27,286.2616,89.4568,3953.9884
43829,6/28/2011 0:00,5,SO43829,27611,,4,3578.27,286.2616,89.4568,3953.9884
43830,6/28/2011 0:00,5,SO43830,16347,,9,3578.27,286.2616,89.4568,3953.9884
43831,6/28/2011 0:00,5,SO43831,11028,,9,3374.99,269.9992,84.3748,3729.364
43832,6/28/2011 0:00,5,SO43832,13584,,10,3578.27,286.2616,89.4568,3953.9884
43833,6/29/2011 0:00,5,SO43833,21727,,6,3578.27,286.2616,89.4568,3953.9884
43834,6/29/2011 0:00,5,SO43834,28393,,7,3374.99,269.9992,84.3748,3729.364
43835,6/29/2011 0:00,5,SO43835,19802,,6,3374.99,269.9992,84.3748,3729.364
43836,6/29/2011 0:00,5,SO43836,26620,,6,699.0982,55.9279,17.4775,772.5036
43837,6/29/2011 0:00,5,SO43837,11009,,9,3374.99,269.9992,84.3748,3729.364
43838,6/30/2011 0:00,5,SO43838,27641,,4,3578.27,286.2616,89.4568,3953.9884
43839,6/30/2011 0:00,5,SO43839,27673,,1,3578.27,286.2616,89.4568,3953.9884
43840,6/30/2011 0:00,5,SO43840,17957,,7,699.0982,55.9279,17.4775,772.5036
43841,6/30/2011 0:00,5,SO43841,13406,,8,3578.27,286.2616,89.4568,3953.9884
43842,6/30/2011 0:00,5,SO43842,16630,,9,3578.27,286.2616,89.4568,3953.9884
43843,7/1/2011 0:00,5,SO43843,29955,275,3,32940.1556,3174.1988,991.9371,37106.2915
43844,7/1/2011 0:00,5,SO43844,29620,282,6,20249.94,1943.9942,607.4982,22801.4324
43845,7/1/2011 0:00,5,SO43845,29888,279,5,8580.0739,823.6669,257.3959,9661.1367
43846,7/1/2011 0:00,5,SO43846,29548,278,6,919.5201,90.6637,28.3324,1038.5162
43847,7/1/2011 0:00,5,SO43847,29539,278,6,908.8209,86.9292,27.1654,1022.9155
43848,7/1/2011 0:00,5,SO43848,29717,283,1,18269.946,1753.9148,548.0984,20571.9592
43849,7/1/2011 0:00,5,SO43849,29818,274,1,20544.7015,1969.9765,615.6177,23130.2957
43850,7/1/2011 0:00,5,SO43850,29892,282,6,10183.7952,982.9377,307.168,11473.9009
